Category,Message,Label,Clean
spam,"Last Chance! Claim ur å£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Sub. 16",1,last chanc claim ur worth discount voucher today text shop savamob offer mobil cs savamob pobox uz sub
ham,"That's good, because I need drugs",0,good need drug
ham,You were supposed to wake ME up &gt;:(,0,suppos wake gt
spam,Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers,1,warner villag c colin farrel swat wkend warner villag get free med popcorn show msg ticket kiosk valid c c kiosk repli soni mre film offer
spam,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now,1,tri call repli sm video mobil min unlimit text free camcord repli call
ham,Hey darlin.. i can pick u up at college if u tell me wen & where 2 mt.. love Pete xx,0,hey darlin pick u colleg u tell wen mt love pete xx
spam,"Hi there, 2nights ur lucky night! Uve been invited 2 XCHAT, the Uks wildest chat! Txt CHAT to 86688 now! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs",1,hi night ur lucki night uve invit xchat uk wildest chat txt chat p msgrcvdhg suit land row w j hl ldn yr
ham,"that would be good Û_ I'll phone you tomo lunchtime, shall I, to organise something?",0,would good phone tomo lunchtim shall organis someth
spam,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,1,congratul ur award either cd gift voucher free entri weekli draw txt music tnc www ldew com win ppmx age
ham,Yes ammae....life takes lot of turns you can only sit and try to hold the steering...,0,ye amma life take lot turn sit tri hold steer
ham,"Not for possession, especially not first offense",0,possess especi first offens
ham,Super msg da:)nalla timing.,0,super msg da nalla time
spam,u r a winner U ave been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),1,u r winner u ave special select receiv cash holiday flight inc speak live oper claim p min
ham,"I call you later, don't have network. If urgnt, sms me.",0,call later network urgnt sm
ham,Go chase after her and run her over while she's crossing the street,0,go chase run cross street
ham,"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to",0,still mayb leav credit card get ga get back like told
spam,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,1,special select receiv pound award call line close cost ppm cs appli ag promo
ham,Oh yah... We never cancel leh... Haha ,0,oh yah never cancel leh haha
spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic ",1,spook mob halloween collect logo pic messag plu free eeri tone txt card spook zed p per logo pic
spam,Do you want a new Video handset? 750 any time any network mins? UNLIMITED TEXT? Camcorder? Reply or Call now 08000930705 for del Sat AM,1,want new video handset time network min unlimit text camcord repli call del sat
spam,"For ur chance to win å£250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk.",1,ur chanc win cash everi wk txt play c www music trivia net custcar x p wk
ham,"I know where the  &lt;#&gt;  is, I'll be there around 5",0,know lt gt around
spam,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access!,1,call germani penc per minut call fix line via access number prepay direct access
spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call",1,chanc realiti fantasi show call p per min ntt ltd po box croydon cr wb nation rate call
ham,"I dont knw pa, i just drink milk..",0,dont knw pa drink milk
ham,Wait  &lt;#&gt;  min..,0,wait lt gt min
spam,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you,1,messag import inform user today lucki day find log onto http www urawinn com fantast surpris await
ham,Was playng 9 doors game and gt racing on phone lol,0,playng door game gt race phone lol
spam,Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop www.gamb.tv,1,txt call claim reward hour talk time use phone subscrib gbp mnth inc hr stop txtstop www gamb tv
spam,Ur HMV Quiz cash-balance is currently å£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,1,ur hmv quiz cash balanc current maxim ur cash send hmv p msg
spam,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,1,forward hi mailbox messag sm alert match pleas call back retriev messag match cc p min
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,1,privat account statement show un redeem point call identifi code expir
spam,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!,1,freemsg fanci flirt repli date join uk fastest grow mobil date servic msg rcvd p optout txt stop repli date
spam,"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel",1,rock yr chik get filthi film xxx pic yr phone rpli filth saristar ltd e yt p per day stop cancel
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,1,hmv bonu special pound genuin hmv voucher answer easi question play send hmv info www percent real com
ham,Still at west coast... Haiz... ÌÏ'll take forever to come back...,0,still west coast haiz take forev come back
ham,So how many days since then?,0,mani day sinc
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone,1,sunshin quiz wkli q win top soni dvd player u know countri liverpool play mid week txt ansr sp tyron
spam,Todays Vodafone numbers ending with 4882 are selected to a receive a å£350 award. If your number matches call 09064019014 to receive your å£350 award.,1,today vodafon number end select receiv award number match call receiv award
ham,Wat r u doing now?,0,wat r u
spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",1,sm servic inclus text credit pl goto www comuk net login qxj unsubscrib stop extra charg help comuk cm ae
spam,Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15,1,someon conact date servic enter phone fanci find call landlin pobox n tf
spam,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468",1,lastest stereophon marley dizze racal libertin stroke win nookii game flirt click themob wap bookmark text wap
ham,Thinkin about someone is all good. No drugs for that,0,thinkin someon good drug
ham,I'm at work. Please call,0,work pleas call
spam,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07099833605 to re-schedule. Ref:9280114",1,custom servic announc recent tri make deliveri unabl pleas call schedul ref
ham,When you came to hostel.,0,came hostel
spam,Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,1,bore housew chat n date bt nation rate p min landlin
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,1,urgent mobil number award prize guarante call land line claim valid hr ppm
spam,"Urgent! Please call 09066612661 from your landline, your complimentary 4* Lux Costa Del Sol holiday or å£1000 CASH await collection. ppm 150 SAE T&Cs James 28, EH74RR",1,urgent pleas call landlin complimentari lux costa del sol holiday cash await collect ppm sae cs jame eh rr
ham,So do you have samus shoulders yet,0,samu shoulder yet
spam,You have won a guaranteed 32000 award or maybe even å£1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???,1,guarante award mayb even cash claim ur award call free legitimat efreefon number wat u think
spam,You have 1 new voicemail. Please call 08719181513.,1,new voicemail pleas call
spam,Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,1,custom loyalti offer new nokia mobil txtauction txt word start get ctxt tc p mtmsg
spam,SMS. ac sun0819 posts HELLO:\You seem cool,1,sm ac sun post hello seem cool
spam,Ur balance is now å£500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!,1,ur balanc ur next question sang uptown girl answer txt ur answer good luck
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",1,freemsg hey darl week word back like fun still tb ok xxx std chg send rcv
ham,Now thats going to ruin your thesis!,0,that go ruin thesi
ham,Fuck cedar key and fuck her (come over anyway tho),0,fuck cedar key fuck come anyway tho
ham,Jus finish bathing...,0,ju finish bath
ham,Some of them told accenture is not confirm. Is it true.,0,told accentur confirm true
ham,alright tyler's got a minor crisis and has to be home sooner than he thought so be here asap,0,alright tyler got minor crisi home sooner thought asap
ham,NO GIFTS!! You trying to get me to throw myself off a cliff or something?,0,gift tri get throw cliff someth
ham,I'm in a movie. Call me 4 wat?,0,movi call wat
spam,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply",1,get lion england tone repli lionm mono lionp poli go www rington co uk origin n best tone gbp network oper rate appli
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597,1,u secret admir look make contact u find r reveal think ur special call
ham,"They can try! They can get lost, in fact. Tee hee",0,tri get lost fact tee hee
ham,"Science tells that chocolate will melt under the sunlight. Please don't walk under the sunlight. BCoz,I don't want to loss a sweet friend.",0,scienc tell chocol melt sunlight pleas walk sunlight bcoz want loss sweet friend
ham,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI,0,watch surya movi pm vijay movi pokkiri
spam,YOU ARE CHOSEN TO RECEIVE A å£350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.,1,chosen receiv award pl call claim number collect award select receiv valu mobil custom
spam,500 free text msgs. Just text ok to 80488 and we'll credit your account,1,free text msg text ok credit account
ham,Good Morning plz call me sir,0,good morn plz call sir
spam,You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP,1,guarante award even cashto claim ur award call free stop getstop php
spam,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,1,tri contact repli offer video handset anytim network min unlimit text camcord repli call
spam,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",1,urgent urgent free flight europ give away call b th sept take friend free call claim ba nnfwfli ppm
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,1,decemb mobil mth entitl updat latest colour camera mobil free call mobil updat co free
ham,"Also north carolina and texas atm, you would just go to the gre site and pay for the test results to be sent.",0,also north carolina texa atm would go gre site pay test result sent
ham,"Same, I'm at my great aunts anniversary party in tarpon springs",0,great aunt anniversari parti tarpon spring
ham,Its  &lt;#&gt; k here oh. Should i send home for sale.,0,lt gt k oh send home sale
spam,PRIVATE! Your 2004 Account Statement for 078498****7 shows 786 unredeemed Bonus Points. To claim call 08719180219 Identifier Code: 45239 Expires 06.05.05,1,privat account statement show unredeem bonu point claim call identifi code expir
spam,SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY,1,splashmobil choos gr tone wk subscrit servic weekli tone cost p u one credit kick back enjoy
ham,Bbq this sat at mine from 6ish. Ur welcome 2 come,0,bbq sat mine ish ur welcom come
ham,"Yup. Anything lor, if u dun wan it's ok...",0,yup anyth lor u dun wan ok
spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,1,winner u special select receiv cash holiday flight inc speak live oper claim
spam,"Twinks, bears, scallies, skins and jocks are calling now. Don't miss the weekend's fun. Call 08712466669 at 10p/min. 2 stop texts call 08712460324(nat rate)",1,twink bear scalli skin jock call miss weekend fun call p min stop text call nat rate
spam,thesmszone.com lets you send free anonymous and masked messages..im sending this message from there..do you see the potential for abuse???,1,thesmszon com let send free anonym mask messag im send messag see potenti abus
ham,My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...,0,love hope anyth drastic dare sell pc phone
ham,Y?WHERE U AT DOGBREATH? ITS JUST SOUNDING LIKE JAN C THATåÕS AL!!!!!!!!!,0,u dogbreath sound like jan c al
ham,Gokila is talking with you aha:),0,gokila talk aha
spam,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT,1,ur rington servic chang free credit go club mobil com choos content stop txt club stop p wk club po box mk wt
ham,I'm at home n ready...,0,home n readi
ham,Doing project w frens lor. ,0,project w fren lor
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",1,xxxmobilemovieclub use credit click wap link next txt messag click http wap xxxmobilemovieclub com n qjkgighjjgcbl
ham,Where are you lover ? I need you ...,0,lover need
spam,1000's of girls many local 2 u who r virgins 2 this & r ready 2 4fil ur every sexual need. Can u 4fil theirs? text CUTE to 69911(å£1.50p. m),1,girl mani local u r virgin r readi fil ur everi sexual need u fil text cute p
ham,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,per request maangalyam alaipayuth set callertun caller press copi friend callertun
ham,Haf u found him? I feel so stupid da v cam was working.,0,haf u found feel stupid da v cam work
spam,"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy",1,prize go anoth custom c www c biz p min polo ltd suit london w j hl pleas call back busi
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.,0,regist sinco paye log icicibank com enter urn lt gt confirm bewar fraud share disclos urn anyon
ham,"Dad wanted to talk about the apartment so I got a late start, omw now",0,dad want talk apart got late start omw
ham,Except theres a chick with huge boobs.,0,except there chick huge boob
spam,FREE entry into our å£250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk,1,free entri weekli comp send word win c www txttowin co uk
ham,Okie,0,oki
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,1,privat account statement show un redeem point call identifi code expir
spam,Kit Strip - you have been billed 150p. Netcollex Ltd. PO Box 1013 IG11 OJA,1,kit strip bill p netcollex ltd po box ig oja
ham,Wherre's my boytoy ? :-(,0,wherr boytoy
ham,Thats cool. How was your day?,0,that cool day
spam,Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!,1,refus loan secur unsecur get credit call free text back help
ham,Can you open the door?,0,open door
ham,"Cool, text me when you head out",0,cool text head
spam,"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 ",1,contact date servic someon know find call mobil landlin pobox ldn
ham,Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.,0,pl give prometazin syrup ml lt gt min later feed
spam,ASKED 3MOBILE IF 0870 CHATLINES INCLU IN FREE MINS. INDIA CUST SERVs SED YES. L8ER GOT MEGA BILL. 3 DONT GIV A SHIT. BAILIFF DUE IN DAYS. I O å£250 3 WANT å£800,1,ask mobil chatlin inclu free min india cust serv sed ye l er got mega bill dont giv shit bailiff due day want
spam,Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D,1,doubl min txt orang price linerent motorola sonyericsson b tooth free nokia free call mobileupd optout hv
ham,In which place i can get rooms cheap:-),0,place get room cheap
spam,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",1,updat xma offer latest motorola sonyericsson nokia free bluetooth doubl min txt orang call mobileupd call optout f q
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",1,valu custom pleas advis follow recent review mob award bonu prize call
spam,"URGENT! Your mobile number *************** WON a å£2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm",1,urgent mobil number bonu caller prize nd attempt reach call asap box n qp ppm
spam,"Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties...",1,hi ami send free phone number coupl day give access adult parti
spam,tells u 2 call 09066358152 to claim å£5000 prize. U have 2 enter all ur mobile & personal details @ the prompts. Careful!,1,tell u call claim prize u enter ur mobil person detail prompt care
ham,Quite ok but a bit ex... U better go eat smth now else i'll feel guilty...,0,quit ok bit ex u better go eat smth els feel guilti
ham,"Sorry, went to bed early, nightnight",0,sorri went bed earli nightnight
spam,"Mila, age23, blonde, new in UK. I look sex with UK guys. if u like fun with me. Text MTALK to 69866.18 . 30pp/txt 1st 5free. å£1.50 increments. Help08718728876",1,mila age blond new uk look sex uk guy u like fun text mtalk pp txt st free increment help
spam,"Urgent -call 09066649731from Landline. Your complimentary 4* Ibiza Holiday or å£10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150ppm 18+",1,urgent call landlin complimentari ibiza holiday cash await collect sae cs po box sk wp ppm
spam,Ringtone Club: Gr8 new polys direct to your mobile every week !,1,rington club gr new poli direct mobil everi week
spam,CDs 4u: Congratulations ur awarded å£500 of CD gift vouchers or å£125 gift guaranteed & Freeentry 2 å£100 wkly draw xt MUSIC to 87066 TnCs www.ldew.com1win150ppmx3age16 ,1,cd u congratul ur award cd gift voucher gift guarante freeentri wkli draw xt music tnc www ldew com win ppmx age
ham,Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...,0,huh slow tot u reach long ago liao u day leh
ham,I want to tell you how bad I feel that basically the only times I text you lately are when I need drugs,0,want tell bad feel basic time text late need drug
spam,RCT' THNQ Adrian for U text. Rgds Vatian,1,rct thnq adrian u text rgd vatian
ham,"Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?",0,good afternoon love job prospect miss lazi bleak hmmm happi fill love
spam,A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345,1,link pictur sent also use http alto co uk wave wave asp
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04,1,privat account statement show un redeem point call identifi code expir
ham,I just really need shit before tomorrow and I know you won't be awake before like 6,0,realli need shit tomorrow know awak like
ham,"Dear, will call Tmorrow.pls accomodate.",0,dear call tmorrow pl accomod
ham,Ok i msg u b4 i leave my house.,0,ok msg u b leav hous
spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117,1,ur go bahama callfreefon speak live oper claim either bahama cruis cash opt txt x
ham,I thk 530 lor. But dunno can get tickets a not. Wat u doing now?,0,thk lor dunno get ticket wat u
ham,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),0,that cool sometim slow gentl sonetim rough hard
ham,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e",0,friendship game play word say start march end may tomorrow yesterday today e
spam,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'",1,loan purpos homeown tenant welcom previous refus still help call free text back help
spam,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705,1,want new nokia colour phone deliv tomorrow free minut mobil free text free camcord repli call
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,1,nokia get win free auction take part send nokia hg suit land row w jhl
spam,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!,1,import inform orang user xxxxxx today ur lucki day find log onto http www urawinn com fantast prizeawait
spam,"Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx",1,hack chat get backdoor entri chat room fraction cost repli neo call subscrib p pm dp bcm box ldn wc n xx
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066368470",1,valu custom pleas advis follow recent review mob award bonu prize call
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,1,ur cash balanc current pound maxim ur cash send collect p msg cc po box tcr w
ham,Yes princess! I want to please you every night. Your wish is my command...,0,ye princess want pleas everi night wish command
spam,"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P",1,contact date servic someon know find call land line pobox w tg p
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+ ,1,nokia get win free auction take part send nokia hg suit land row w jhl
ham,Yeah that'd pretty much be the best case scenario,0,yeah pretti much best case scenario
spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call.",1,chanc realiti fantasi show call p per min ntt ltd po box croydon cr wb nation rate call
spam,As a registered optin subscriber ur draw 4 å£100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts,1,regist optin subscrib ur draw gift voucher enter receipt correct an what bbc chart
ham,No..few hours before.went to hair cut .,0,hour went hair cut
ham,Nothing. Can...,0,noth
spam,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min,1,want explicit sex sec ring cost p min
spam,U have a secret admirer. REVEAL who thinks U R So special. Call 09065174042. To opt out Reply REVEAL STOP. 1.50 per msg recd. Cust care 07821230901,1,u secret admir reveal think u r special call opt repli reveal stop per msg recd cust care
spam,Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs,1,dear u invit xchat final attempt contact u txt chat p msgrcvdhg suit land row w j hl ldn yr
ham,"Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone",0,hey tell blake address carlo want meet got lost answer phone
spam,Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.,1,valentin day special win quiz take partner trip lifetim send go p msg rcvd custcar
ham,Mum ask Ì_ to buy food home...,0,mum ask buy food home
ham,So li hai... Me bored now da lecturer repeating last weeks stuff waste time... ,0,li hai bore da lectur repeat last week stuff wast time
spam,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08708800282 HG/Suite342/2Lands Row/W1J6HL,1,ur cash balanc current pound maxim ur cash send cash p msg cc hg suit land row w j hl
spam,"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603",1,hi babe jordan r u im home abroad lone text back u wanna chat xxsp visionsm com text stop stopcost p
spam,"SMSSERVICES. for yourinclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",1,smsservic yourinclus text credit pl goto www comuk net login qxj unsubscrib stop extra charg help comuk cm ae
ham,S.s:)i thinl role is like sachin.just standing. Others have to hit.,0,thinl role like sachin stand other hit
spam,Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674,1,free video camera phone half price line rental mth cross ntwk min txt call mobileupd call optout
ham,I dont know oh. Hopefully this month.,0,dont know oh hope month
spam,100 dating service cal;l 09064012103 box334sk38ch,1,date servic cal l box sk ch
